Label,F1,F2,F3,F4
CarHorn,2.672018E-07,0.10487366,-0.10902405,0.00035672274
CarHorn,1.3859375E-05,0.090667725,-0.1084137,0.00026850682
CarHorn,-5.985165E-05,0.1002655,-0.1084137,0.00026693734
CarHorn,3.988132E-06,0.11590576,-0.11010742,0.00035431673
CarHorn,0.0020119464,0.50901794,-0.5037842,0.0560264
CarHorn,0.00056894904,0.5029602,-0.5099182,0.05306242
CarHorn,-0.00010110315,0.23815918,-0.22485352,0.0027606902
CarHorn,-0.00010172248,0.19160461,-0.18177795,0.001908606
CarHorn,-0.00011044876,0.21391296,-0.19212341,0.0019251063
CarHorn,-7.918652E-05,0.23677063,-0.22457886,0.0023968066
CarHorn,-9.0907655E-05,0.23677063,-0.22457886,0.0024723269
CarHorn,-9.249981E-05,0.25949097,-0.26835632,0.0039557
CarHorn,-0.0001247472,0.30426025,-0.31411743,0.003472983
CarHorn,-9.669034E-05,0.2829132,-0.2674713,0.0037667726
CarHorn,1.7576715E-05,0.71868896,-0.7310333,0.007123416
CarHorn,3.8427323E-05,0.67884827,-0.6444397,0.0059438976
CarHorn,-3.473592E-05,0.10559082,-0.097351074,0.00031545857
CarHorn,-2.2588662E-05,0.17007446,-0.1521759,0.00022242061
CarHorn,-2.2901791E-05,0.05116272,-0.054595947,8.667293E-05
CarHorn,-2.6892738E-05,0.059509277,-0.07359314,0.00013325764
DogBark,-0.000102015816,0.7585144,-0.7963867,0.011214749
DogBark,-4.751253E-05,0.7585144,-0.7963867,0.007261584
DogBark,-1.7127212E-08,0.70562744,-0.6946564,0.002792775
DogBark,0.0012822833,0.78800964,-0.8006439,0.013921917
DogBark,0.0016304085,0.78800964,-0.8006439,0.013569397
DogBark,-0.0005875974,0.6417694,-0.61946106,0.00440027
DogBark,-0.0007547159,0.63571167,-0.61769104,0.006748682
DogBark,-0.0008486965,0.56288147,-0.66804504,0.0058846944
DogBark,-0.00013079059,0.44440508,-0.51678,0.008136899
DogBark,-0.00023788757,0.31479174,-0.324085,0.006140076
DogBark,0.0001299178,0.33173233,-0.3489064,0.0068369485
DogBark,-1.5742455E-06,0.33173233,-0.3489064,0.0058814595
DogBark,6.117178E-05,0.2602235,-0.22240269,0.002487884
DogBark,-0.00045893117,0.8757633,-0.96360195,0.04615883
DogBark,-0.0001848903,0.5505235,-0.6996851,0.009874852
DogBark,-0.0001064027,0.4094996,-0.6155214,0.0043473556
DogBark,-9.9692115E-05,0.41753584,-0.66121393,0.007100225
DogBark,-0.00015911074,0.61599815,-0.7143031,0.009867967
DogBark,2.6290098E-05,0.31018066,-0.30700684,0.003762422
DogBark,-1.3577208E-05,0.16526794,-0.16056824,0.0007201674
